station,line,towards,countdown,time
Längenfeldgasse U,12A,Eichenstraße,"[6, 15, 24, 34, 44, 54, 64]",1638525845.775732
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[0, 11, 21, 31, 41, 51, 61]",1638525845.775732
"Flurschützstraße, Längenfeldgasse",62,"Meidling S, Dörfelstraße","[4, 10, 13, 15, 25, 33, 40, 48, 55, 63]",1638525845.775732
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[0, 10, 17, 23, 31, 38, 46, 53, 61, 68, 68]",1638525845.775732
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[2, 13, 23, 33, 43, 53, 63]",1638525845.775732
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[5, 16, 25, 36, 46, 56, 66]",1638525845.775732
Längenfeldgasse,U4,HEILIGENSTADT,"[0, 7, 9, 14, 19, 24, 29, 34, 39, 44, 49, 54, 59, 64, 69]",1638525845.775732
Längenfeldgasse,U4,HÜTTELDORF,"[3, 7, 9, 14, 19, 24, 29, 34, 39, 44, 49, 54, 59, 64, 69]",1638525845.775732
Längenfeldgasse,U6,FLORIDSDORF,"[4, 7, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638525845.775732
Längenfeldgasse,U6,SIEBENHIRTEN,"[0, 2, 5, 9, 13, 17, 21, 25, 29, 33, 37, 41, 45, 49, 53, 57, 61, 65, 69]",1638525845.775732
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[5, 13, 20, 30, 35, 44, 50, 57, 65]",1638525845.775732
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[0, 6, 12, 20, 27, 35, 42, 50, 57, 65]",1638525845.775732
Längenfeldgasse U,12A,Eichenstraße,"[6, 14, 24, 34, 44, 54, 64]",1638525856.1053855
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[0, 11, 21, 31, 41, 51, 61]",1638525856.1053855
"Flurschützstraße, Längenfeldgasse",62,"Meidling S, Dörfelstraße","[4, 10, 13, 15, 25, 33, 40, 48, 55, 63]",1638525856.1053855
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[0, 9, 17, 23, 31, 38, 46, 53, 61, 68, 68]",1638525856.1053855
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[2, 13, 23, 33, 43, 53, 63]",1638525856.1053855
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[5, 15, 24, 36, 46, 56, 66]",1638525856.1053855
Längenfeldgasse,U4,HEILIGENSTADT,"[0, 7, 9, 14, 19, 24, 29, 34, 39, 44, 49, 54, 59, 64, 69]",1638525856.1053855
Längenfeldgasse,U4,HÜTTELDORF,"[3, 7, 9, 14, 19, 24, 29, 34, 39, 44, 49, 54, 59, 64, 69]",1638525856.1053855
Längenfeldgasse,U6,FLORIDSDORF,"[3, 5, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638525856.1053855
Längenfeldgasse,U6,SIEBENHIRTEN,"[0, 2, 5, 9, 13, 17, 21, 25, 29, 33, 37, 41, 45, 49, 53, 57, 61, 65, 69]",1638525856.1053855
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[5, 13, 21, 29, 35, 44, 50, 57, 65]",1638525856.1053855
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[0, 6, 12, 20, 27, 35, 42, 50, 57, 65]",1638525856.1053855
Längenfeldgasse U,12A,Eichenstraße,"[5, 14, 24, 34, 44, 54, 64]",1638525866.5016813
